bankName,cardName,imgUrl,benefit,type,rotate,position
우리카드,카드의정석 SHOPPING+,https://d1c5n4ri2guedi.cloudfront.net/card/2687/card_img/33239/2687card.png,"온라인 쇼핑 10% 청구 할인
백화점・대형할인점・슈퍼마켓 등 10% 청구 할인",신용,180,center
삼성카드,삼성 iD SELECT ALL 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2885/card_img/44212/2885card_1.png,"선택 옵션에 따른 할인 혜택(택 1)
생활 편의 영역 5% 할인
디지털콘텐츠/멤버십 50% 할인",신용,0,center
신한카드,신한카드 Mr.Life,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png,"공과금 10% 할인
마트.편의점 10% 할인
식음료 10% 할인",신용,180,center
삼성카드,삼성카드 & MILEAGE PLATINUM (스카이패스),https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/42288/49card.png,"1,000원당 1마일 기본적립
국내/해외 택1 옵션형 1마일 특별적립
인천공항 라운지 무료이용",신용,0,center
KB국민카드,KB국민 My WE:SH 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png,"KB Pay 10% 할인
음식점 10% 할인
서비스팩 3개 중 1개 선택할인",신용,0,center
하나카드,트래블로그+(플러스) 신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/2961/card_img/47942/2961card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,LOCA 365 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2330/card_img/24131/2330card.png,"아파트관리비, 공과금 10% 할인
교통·통신, 배달앱 10% 할인
스트리밍 1,500원 할인",신용,90,center
신한카드,신한카드 Discount Plan+,https://d1c5n4ri2guedi.cloudfront.net/card/2835/card_img/41600/2835card.png,"카페 10% 할인
쇼핑 10% 할인
정기결제 최대 20% 할인",신용,0,center
우리카드,카드의정석2,https://d1c5n4ri2guedi.cloudfront.net/card/2848/card_img/48533/2848card_2.png,"국내외 가맹점 1.2% 적립
분기별 이용실적에 따라 최대 15,000원 청구할인",신용,0,center
현대카드,현대카드 M,https://d1c5n4ri2guedi.cloudfront.net/card/2669/card_img/43704/2669card_5.png,"국내외 가맹점 1.5% 적립
온라인몰·일반음식점 5% 적립
해외 가맹점 5% 적립",신용,0,center
현대카드,현대카드ZERO Edition3 (할인형),https://d1c5n4ri2guedi.cloudfront.net/card/2646/card_img/39624/2646card_3.png,"국내외 가맹점 0.8% 적립",신용,0,center
